DEPAR,PROV,DISTRITO,OFICINA,NODO,Descripcion,Nombre OLT,TIPO PLANTA,PROVEEDOR,Cod_OLT,OLT_ALIAS_x,OLT_ALIAS_y,value
CAJAMARCA,CUTERVO,CUTERVO,CAJ,BH,CUTERVO,OLT_MA5800_CUTERVO_8,,HUAWEI,H040,OLT_MA5800_CUTERVO_8,OLT_MA5800_CUTERVO_8,1837.0
LIMA,LIMA,LINCE,LIM,EC,EL CERCADO,OLT_MA5800_EL_CERCADO_19,EDIFICIO,HUAWEI,H022,OLT_MA5800_EL_CERCADO_19,OLT_MA5800_EL_CERCADO_19,28.0
LIMA,LIMA,ATE VITARTE,LIM,PI,EL PINO,OLT_MA5800_EL_PINO_2,EDIFICIO,HUAWEI,H103,OLT_MA5800_EL_PINO_2,OLT_MA5800_EL_PINO_2,3.0
LIMA,LIMA,COMAS,LIM,ER,EL RETABLO,OLT_MA5800_EL_RETABLO_21,EDIFICIO,HUAWEI,H019,OLT_MA5800_EL_RETABLO_21,OLT_MA5800_EL_RETABLO_21,591.0
LIMA,LIMA,SANTIAGO DE SURCO,LIM,HI,HIGUERETA,OLT_MA5800_HIGUERETA_39,EDIFICIO,HUAWEI,H077,OLT_MA5800_HIGUERETA_39,OLT_MA5800_HIGUERETA_39,4956.0
LIMA,LIMA,SANTIAGO DE SURCO,LIM,HI,HIGUERETA,OLT_MA5800_HIGUERETA_41_F1,Overlay,HUAWEI,H108,OLT_MA5800_HIGUERETA_41_F1,OLT_MA5800_HIGUERETA_41_F1,4485.0
LIMA,LIMA,SANTIAGO DE SURCO,LIM,HI,HIGUERETA,OLT_MA5800_HIGUERETA_41_F2,Overlay,HUAWEI,H118,,,
LIMA,LIMA,SAN BORJA,LIM,HI,CHACARILLA,OLT_MA5800_HIGUERETA_CQ_40_F1,Overlay,HUAWEI,H076,OLT_MA5800_HIGUERETA_CQ_40_F1,OLT_MA5800_HIGUERETA_CQ_40_F1,4619.0
LIMA,LIMA,SANTIAGO DE SURCO,LIM,HI,HIGUERETA,OLT_MA5800_HIGUERETA_CQ_40_F2,Overlay,HUAWEI,H115,OLT_MA5800_HIGUERETA_CQ_40_F2,OLT_MA5800_HIGUERETA_CQ_40_F2,7261.0
LIMA,HUAURA,HUACHO,LIM,GH,HUACHO,OLT_MA5800_HUACHO_45,,HUAWEI,H025,OLT_MA5800_HUACHO_45,OLT_MA5800_HUACHO_45,11659.0
HUANUCO,HUANUCO,HUANUCO,HNC,GN,HUANUCO,OLT_MA5800_HUANUCO_50,,HUAWEI,H045,OLT_MA5800_HUANUCO_50,OLT_MA5800_HUANUCO_50,7972.0
LIMA,HUARAL,HUARAL,LIM,GL,HUARAL,OLT_MA5800_HUARAL_30,,HUAWEI,H027,OLT_MA5800_HUARAL_30,OLT_MA5800_HUARAL_30,4227.0
ANCASH,HUARAZ,HUARAZ,CTE,GR,HUARAZ,OLT_MA5800_HUARAZ_40,,HUAWEI,H032,OLT_MA5800_HUARAZ_40,OLT_MA5800_HUARAZ_40,11032.0
LIMA,HUAURA,HUAURA,LIM,DX,HUAURA,OLT_MA5800_HUAURA_9,,HUAWEI,H024,OLT_MA5800_HUAURA_9,OLT_MA5800_HUAURA_9,2170.0
PUNO,EL COLLAO,ILAVE,PUN,EJ,ILAVE,OLT_MA5800_ILAVE_4,,HUAWEI,H063,OLT_MA5800_ILAVE_4,OLT_MA5800_ILAVE_4,1002.0
MOQUEGUA,ILO,ILO,MOQ,GQ,ILO,OLT_MA5800_ILO_18,,HUAWEI,H053,OLT_MA5800_ILO_18,OLT_MA5800_ILO_18,3024.0
LIMA,CAÃƒâ€˜ETE,IMPERIAL,LIM,HZ,IMPERIAL,OLT_MA5800_IMPERIAL_8,,HUAWEI,H031,OLT_MA5800_IMPERIAL_8,OLT_MA5800_IMPERIAL_8,3171.0
CAJAMARCA,JAEN,JAEN,CAJ,GD,JAEN,OLT_MA5800_JAEN_17,,HUAWEI,H038,OLT_MA5800_JAEN_17,OLT_MA5800_JAEN_17,4708.0
LIMA,LIMA,LA MOLINA,LIM,LM,LA MOLINA,OLT_MA5800_LA_MOLINA_21,,HUAWEI,H091,OLT_MA5800_LA_MOLINA_21,OLT_MA5800_LA_MOLINA_21,374.0
LIMA,LIMA,LA MOLINA,LIM,LM,LA MOLINA,OLT_MA5800_LA_MOLINA_22_F1,,HUAWEI,H092,OLT_MA5800_LA_MOLINA_22_F1,OLT_MA5800_LA_MOLINA_22_F1,7083.0
